PeakID (cmd=C57_H.p_peaks.bed mm9)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
MACS_peak_3859	chr13	113835175	113837128	+	3165.45	NA	intron (NM_027127, intron 1 of 2)	intron (NM_027127, intron 1 of 2)	445	NM_027127	69590	Mm.12715	NM_027127	ENSMUSG00000021760	Gpx8	2310016C16Rik|AU017063	glutathione peroxidase 8 (putative)	protein-coding
MACS_peak_2063	chr11	70222465	70224311	+	3163.68	NA	exon (NM_029231, exon 1 of 17)	exon (NM_029231, exon 1 of 17)	145	NM_029231	75273	Mm.340601	NM_029231	ENSMUSG00000018921	Pelp1	4930563C04Rik|MNAR	proline, glutamic acid and leucine rich protein 1	protein-coding
MACS_peak_12805	chr8	72806068	72808100	+	3163.54	NA	intron (NM_011984, intron 1 of 9)	CpG	186	NM_001146153	26558	Mm.440659	NM_001146153	ENSMUSG00000003573	Homer3	AW146114	homer homolog 3 (Drosophila)	protein-coding
MACS_peak_13100	chr8	108692032	108694074	+	3163.39	NA	intron (NM_178798, intron 1 of 9)	CpG	278	NM_178798	330836	Mm.46749	NM_178798	ENSMUSG00000031904	Slc7a6	AI643885|LAT-2|LAT3	solute carrier family 7 (cationic amino acid transporter, y+ system), member 6	protein-coding
MACS_peak_9469	chr4	124391538	124393173	+	3163.24	NA	intron (NM_029157, intron 1 of 16)	CpG	250	NM_029157	75062	Mm.25779	NM_029157	ENSMUSG00000028902	Sf3a3	4930512K19Rik|60kDa	splicing factor 3a, subunit 3	protein-coding
MACS_peak_9404	chr4	117806457	117808311	+	3162.55	NA	5' UTR (NM_009176, exon 1 of 12)	5' UTR (NM_009176, exon 1 of 12)	111	NM_009176	20441	Mm.251002	NM_001161774	ENSMUSG00000028538	St3gal3	ST3N|Siat3|Siat6	ST3 beta-galactoside alpha-2,3-sialyltransferase 3	protein-coding
MACS_peak_12595	chr8	23302894	23304762	+	3161.46	NA	intron (NM_027338, intron 1 of 13)	intron (NM_027338, intron 1 of 13)	496	NM_027338	70160	Mm.41453	NM_027338	ENSMUSG00000031479	Vps36	1700010A24Rik|2210415M20Rik|2810408E15Rik|Eap45	vacuolar protein sorting 36 (yeast)	protein-coding
MACS_peak_9543	chr4	129784070	129785942	+	3160.29	NA	intron (NM_026441, intron 1 of 4)	intron (NM_026441, intron 1 of 4)	206	NM_026441	67898	Mm.20818	NM_026441	ENSMUSG00000028779	Pef1	2600002E23Rik|Peflin	penta-EF hand domain containing 1	protein-coding
MACS_peak_12873	chr8	75015213	75017849	+	3158.99	NA	promoter-TSS (NM_177766)	promoter-TSS (NM_177766)	-18	NM_177766	270066	Mm.291461	NM_177766	ENSMUSG00000019731	Slc35e1	6030458H05|AA408278	solute carrier family 35, member E1	protein-coding
MACS_peak_7713	chr2	122059488	122061532	+	3158.47	NA	promoter-TSS (NM_146126)	promoter-TSS (NM_146126)	-65	NM_146126	20322	Mm.471786	NM_146126	ENSMUSG00000027227	Sord	Sdh-1|Sdh1|Sodh-1	sorbitol dehydrogenase	protein-coding
MACS_peak_11122	chr6	83744240	83746244	+	3157.34	NA	promoter-TSS (NM_001164187)	promoter-TSS (NM_001164187)	90	NM_001164187	56174	Mm.190650	NM_001164187	ENSMUSG00000034744	Nagk	Gnk	N-acetylglucosamine kinase	protein-coding
MACS_peak_9270	chr4	99495056	99497090	+	3157.32	NA	promoter-TSS (NM_026348)	promoter-TSS (NM_026348)	-118	NM_145549	230500	Mm.331727	NM_145549	ENSMUSG00000073791	Efcab7	mKIAA1799	EF-hand calcium binding domain 7	protein-coding
MACS_peak_9864	chr4	155242548	155244609	+	3157.30	NA	promoter-TSS (NM_024472)	promoter-TSS (NM_024472)	-29	NM_024472	79554	Mm.25556	NM_024472	ENSMUSG00000029073	Gltpd1	RP23-242K15.17	glycolipid transfer protein domain containing 1	protein-coding
MACS_peak_5166	chr16	30586569	30588844	+	3156.42	NA	promoter-TSS (NM_178069)	promoter-TSS (NM_178069)	-31	NM_178069	224092	Mm.567	NM_178069	ENSMUSG00000022538	Lsg1	5830465I20|AA409273|D16Bwg1547e	large subunit GTPase 1 homolog (S. cerevisiae)	protein-coding
MACS_peak_973	chr10	34016229	34019383	+	3156.18	NA	exon (NM_030203, exon 1 of 1)	exon (NM_030203, exon 1 of 1)	579	NM_030203	72480	Mm.490255	NM_030203	ENSMUSG00000039485	Tspyl4	2610102M01Rik|B230210I21Rik|D10Bwg0791e	TSPY-like 4	protein-coding
MACS_peak_1511	chr10	126477686	126479977	+	3155.52	NA	promoter-TSS (NM_010792)	promoter-TSS (NM_010792)	-157	NM_010792	17299	Mm.251593	NM_010792	ENSMUSG00000006732	Mettl1	2810012D02Rik	methyltransferase like 1	protein-coding
MACS_peak_99	chr1	37356332	37357960	+	3155.36	NA	intron (NM_030266, intron 1 of 25)	CpG	408	NM_030266	269180	Mm.5294	NM_030266	ENSMUSG00000026113	Inpp4a	107kDa|9630012D15|D130048C09Rik|R74740	inositol polyphosphate-4-phosphatase, type I	protein-coding
MACS_peak_2660	chr11	118215100	118217286	+	3154.71	NA	intron (NM_011594, intron 1 of 4)	intron (NM_011594, intron 1 of 4)	532	NM_011594	21858	Mm.487859	NM_011594	ENSMUSG00000017466	Timp2	D11Bwg1104e|Timp-2	tissue inhibitor of metalloproteinase 2	protein-coding
MACS_peak_1523	chr10	126647650	126649266	+	3154.62	NA	exon (NM_054097, exon 1 of 10)	exon (NM_054097, exon 1 of 10)	220	NM_054097	117150	Mm.22682	NM_054097	ENSMUSG00000025417	Pip4k2c	Pip5k2c	phosphatidylinositol-5-phosphate 4-kinase, type II, gamma	protein-coding
MACS_peak_5744	chr17	33530424	33532232	+	3154.49	NA	intron (NM_009542, intron 1 of 3)	intron (NM_009542, intron 1 of 3)	254	NM_009542	22643	Mm.4417	NM_009542	ENSMUSG00000055240	Zfp101	AI316498|AI325003	zinc finger protein 101	protein-coding
MACS_peak_5121	chr16	21204524	21206953	+	3153.95	NA	intron (NM_010143, intron 1 of 15)	intron (NM_010143, intron 1 of 15)	870	NM_010143	13845	Mm.6972	NM_010143	ENSMUSG00000005958	Ephb3	AW456895|Cek10|Etk2|HEK2|MDK5|Sek4|Tyro6	Eph receptor B3	protein-coding
MACS_peak_5842	chr17	37094315	37096570	+	3152.35	NA	promoter-TSS (NM_029602)	promoter-TSS (NM_029602)	-69	NM_023162	66136	Mm.486229	NM_023162	ENSMUSG00000036315	Znrd1	1110014N07Rik|Rpa12	zinc ribbon domain containing, 1	protein-coding
MACS_peak_6992	chr19	60300755	60302968	+	3151.20	NA	intron (NM_029648, intron 1 of 7)	intron (NM_029648, intron 1 of 7)	739	NM_029648	76539	Mm.290183	NM_029648	ENSMUSG00000057858	D19Ertd737e	2310065H12Rik|2610015K05Rik|Fam204a	DNA segment, Chr 19, ERATO Doi 737, expressed	protein-coding
MACS_peak_828	chr1	195097610	195099934	+	3150.42	NA	exon (NM_008059, exon 2 of 2)	exon (NM_008059, exon 2 of 2)	610	NM_008059	14373	Mm.439721	NM_008059	ENSMUSG00000009633	G0s2	AI255151|AV006465	G0/G1 switch gene 2	protein-coding
MACS_peak_11436	chr6	134961228	134962862	+	3150.14	NA	intron (NM_026360, intron 1 of 11)	MIR|SINE|MIR	415	NM_026360	67755	Mm.166524	NM_026360	ENSMUSG00000030204	Ddx47	4930588A18Rik|C77285	DEAD (Asp-Glu-Ala-Asp) box polypeptide 47	protein-coding
MACS_peak_13090	chr8	108378423	108380794	+	3149.94	NA	exon (NM_021513, exon 1 of 1)	exon (NM_021513, exon 1 of 1)	605	NM_021513	59016	Mm.286598	NM_021513	ENSMUSG00000036442	Thap11	2810036E22Rik|AB041579|CTG-B43a|CTG-B45d|Ronin	THAP domain containing 11	protein-coding
MACS_peak_1021	chr10	43297813	43301136	+	3149.52	NA	intron (NM_009846, intron 1 of 1)	intron (NM_009846, intron 1 of 1)	499	NM_009846	12484	Mm.29742	NM_009846	ENSMUSG00000047139	Cd24a	Cd24|HSA|Ly-52|nectadrin	CD24a antigen	protein-coding
MACS_peak_3520	chr13	49515563	49517835	+	3149.51	NA	promoter-TSS (NM_199056)	promoter-TSS (NM_199056)	19	NM_199056	75678	Mm.390586	NM_199056	ENSMUSG00000021385	Ippk	1810043M15Rik|InsP6	inositol 1,3,4,5,6-pentakisphosphate 2-kinase	protein-coding
MACS_peak_4696	chr15	78905076	78906703	+	3149.29	NA	intron (NM_145139, intron 1 of 12)	CpG	236	NM_145139	223691	Mm.206404	NM_145139	ENSMUSG00000033047	Eif3l	0610011H21Rik|D15N1e|Eif3eip|Eif3ip|Eif3s6ip|HSP-66Y|PAF67	eukaryotic translation initiation factor 3, subunit L	protein-coding
MACS_peak_4422	chr15	8048087	8049630	+	3147.47	NA	intron (NM_001081402, intron 2 of 17)	CpG	351	NM_001081402	545085	Mm.321312	NM_001081402	ENSMUSG00000039828	Wdr70	4833422F06Rik	WD repeat domain 70	protein-coding
MACS_peak_5805	chr17	35399361	35401422	+	3147.01	NA	exon (NM_001267808, exon 5 of 11)	exon (NM_001267808, exon 5 of 11)	323	NM_001267808	14980	Mm.439675	NM_001267808		H2-L	H-2L	histocompatibility 2, D region locus L	protein-coding
MACS_peak_1088	chr10	61110580	61112581	+	3145.40	NA	intron (NM_026438, intron 1 of 10)	CpG-1091	211	NM_026438	67895	Mm.28897	NM_026438	ENSMUSG00000020089	Ppa1	2010317E03Rik|Pyp	pyrophosphatase (inorganic) 1	protein-coding
MACS_peak_10131	chr5	64550372	64552883	+	3143.99	NA	5' UTR (NM_019636, exon 1 of 20)	5' UTR (NM_019636, exon 1 of 20)	177	NM_019636	57915	Mm.286353	NM_019636	ENSMUSG00000029174	Tbc1d1	1110062G02Rik|AI385682|AW555803|Tbc1|mKIAA1108	TBC1 domain family, member 1	protein-coding
MACS_peak_4546	chr15	54902560	54904553	+	3142.87	NA	5' UTR (NM_001081288, exon 1 of 26)	5' UTR (NM_001081288, exon 1 of 26)	151	NM_001081288	319944	Mm.380957	NM_001081288	ENSMUSG00000037343	Taf2	150kDa|4732460C16Rik|AI425886|CIF150|TAF2B|TAFII-150|TAFII150	TAF2 RNA polymerase II, TATA box binding protein (TBP)-associated factor	protein-coding
MACS_peak_6991	chr19	60018391	60020275	+	3140.75	NA	promoter-TSS (NM_001033172)	promoter-TSS (NM_001033172)	-66	NM_001033172	74998	Mm.24167	NM_001033172	ENSMUSG00000040022	Rab11fip2	4930470G04Rik|A830046J09Rik|AW558126|Nrip11	RAB11 family interacting protein 2 (class I)	protein-coding
MACS_peak_4870	chr15	97938404	97940211	+	3140.41	NA	intron (NM_001163487, intron 1 of 22)	intron (NM_001163487, intron 1 of 22)	405	NM_001163487	18642	Mm.272582	NM_001163487	ENSMUSG00000033065	Pfkm	AI131669|PFK-A|PFK-M|Pfk-4|Pfk4|Pfka|Pfkx	phosphofructokinase, muscle	protein-coding
MACS_peak_2750	chr12	8214291	8215830	+	3140.41	NA	intron (NM_001167767, intron 1 of 5)	CpG	127	NM_001167767	68832	Mm.25608	NM_001167767	ENSMUSG00000037669	1110057K04Rik	-	RIKEN cDNA 1110057K04 gene	protein-coding
MACS_peak_13776	chr9	86464396	86467002	+	3139.27	NA	promoter-TSS (NM_001163746)	promoter-TSS (NM_001163746)	39	NM_027100	69519	Mm.272517	NM_001145968	ENSMUSG00000032417	Rwdd2a	1700030C20Rik|AI848608|Rwdd2	RWD domain containing 2A	protein-coding
MACS_peak_9077	chr4	44245265	44247960	+	3138.27	NA	Intergenic	CpG	-12473	NR_039565	100628618		NR_039565		Mir5106	mmu-mir-5106|mu-mir-5106	microRNA 5106	miscRNA
MACS_peak_13583	chr9	57683397	57685463	+	3137.70	NA	Intergenic	CpG	-2389	NM_019689	56380	Mm.425588	NM_019689	ENSMUSG00000004661	Arid3b	Bdp|Dri2	AT rich interactive domain 3B (BRIGHT-like)	protein-coding
MACS_peak_1211	chr10	78558967	78560748	+	3137.03	NA	intron (NM_001004362, intron 1 of 5)	intron (NM_001004362, intron 1 of 5)	488	NM_001004362	72128	Mm.297854	NM_001004362	ENSMUSG00000060301	2610008E11Rik	-	RIKEN cDNA 2610008E11 gene	protein-coding
MACS_peak_7882	chr2	151319086	151322005	+	3136.13	NA	intron (NM_198326, intron 1 of 8)	intron (NM_198326, intron 1 of 8)	501	NM_198326	386649	Mm.419479	NM_198326	ENSMUSG00000027455	Nsfl1c	Munc-18c|Stxbp3a|p47	NSFL1 (p97) cofactor (p47)	protein-coding
MACS_peak_7844	chr2	144352461	144354498	+	3134.36	NA	promoter-TSS (NM_029763)	promoter-TSS (NM_029763)	-2	NM_029763	70408	Mm.389351	NM_029763	ENSMUSG00000027427	Polr3f	2810411G20Rik|3010019O03Rik|3110032A07Rik|RPC39|RPC6	polymerase (RNA) III (DNA directed) polypeptide F	protein-coding
MACS_peak_13800	chr9	90057453	90059491	+	3133.36	NA	intron (NM_001003911, intron 1 of 23)	CpG-15252	656	NM_001003911	108153	Mm.102141	NM_001003911	ENSMUSG00000032363	Adamts7	ADAM-TS7|ADAMTS7B	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 7	protein-coding
MACS_peak_5219	chr16	36827650	36829594	+	3133.33	NA	promoter-TSS (NM_001113401)	promoter-TSS (NM_001113401)	136	NM_177128	320299	Mm.222934	NM_177128	ENSMUSG00000022837	Iqcb1	6820449I09Rik|AV128382|NPHP5	IQ calmodulin-binding motif containing 1	protein-coding
MACS_peak_13761	chr9	82722904	82724454	+	3133.31	NA	exon (NM_001168240, exon 1 of 3)	exon (NM_001168240, exon 1 of 3)	266	NM_022986	65099	Mm.41415	NM_001168240	ENSMUSG00000032251	Irak1bp1	4921528N06Rik|AI851240|Aabp3|Aip70|Simpl	interleukin-1 receptor-associated kinase 1 binding protein 1	protein-coding
MACS_peak_1399	chr10	94962854	94964999	+	3132.32	NA	intron (NM_026065, intron 1 of 5)	intron (NM_026065, intron 1 of 5)	635	NM_026065	67270	Mm.30008	NM_026065	ENSMUSG00000062981	Mrpl42	2700009F22Rik|2900055D03Rik|D10Ertd322e|HSPC204|L31mt|MRP-L31|PTD007|Rpml31	mitochondrial ribosomal protein L42	protein-coding
MACS_peak_3401	chr13	24729627	24732121	+	3132.13	NA	intron (NM_029679, intron 1 of 22)	intron (NM_029679, intron 1 of 22)	357	NM_029679	193385	Mm.217319	NM_001080381	ENSMUSG00000036006	Fam65b	1700108N18Rik|6330500D04Rik|AI225904|E430013J17Rik	family with sequence similarity 65, member B	protein-coding
MACS_peak_11992	chr7	72837543	72839332	+	3131.46	NA	exon (NM_026795, exon 1 of 5)	exon (NM_026795, exon 1 of 5)	134	NM_026795	68634	Mm.476828	NM_026795	ENSMUSG00000078681	Tm2d3	1110025I09Rik|5930422O05Rik|Blp2	TM2 domain containing 3	protein-coding
MACS_peak_3539	chr13	53471674	53473402	+	3131.09	NA	intron (NM_009269, intron 1 of 14)	intron (NM_009269, intron 1 of 14)	192	NM_009269	268656	Mm.240336	NM_009269	ENSMUSG00000021468	Sptlc1	AW552086|C77762|E030036H05|Lcb1	serine palmitoyltransferase, long chain base subunit 1	protein-coding
MACS_peak_13177	chr8	120807152	120809343	+	3130.78	NA	intron (NM_019707, intron 1 of 13)	CpG	592	NM_019707	12554	Mm.334841	NM_019707	ENSMUSG00000031841	Cdh13	4932416G01Rik|Cdht|T-cadherin|Tcad	cadherin 13	protein-coding
MACS_peak_5419	chr16	98071808	98074273	+	3130.43	NA	promoter-TSS (NM_144789)	promoter-TSS (NM_144789)	-206	NM_144789	114604	Mm.328741	NM_144789	ENSMUSG00000014039	Prdm15	C21orf83|E130018M06Rik|ORF62|Zfp298	PR domain containing 15	protein-coding
MACS_peak_3153	chr12	103981081	103982995	+	3130.07	NA	promoter-TSS (NM_022323)	promoter-TSS (NM_022323)	68	NM_177140	320351	Mm.86546	NM_177140	ENSMUSG00000046675	Tmem251	D230037D09Rik	transmembrane protein 251	protein-coding
MACS_peak_13469	chr9	44112641	44114163	+	3130.00	NA	intron (NM_172162, intron 1 of 9)	CpG	352	NM_172162	102423	Mm.24570	NM_172162	ENSMUSG00000032119	Hinfp	AA589481|HiNF-P|Mizf	histone H4 transcription factor	protein-coding
MACS_peak_11849	chr7	46704281	46705865	+	3128.93	NA	intron (NM_001243021, intron 1 of 5)	intron (NM_001243021, intron 1 of 5)	185	NM_001243021	233147	Mm.148946	NM_001243021	ENSMUSG00000030424	Zfp939	9430025M13Rik	zinc finger protein 939	protein-coding
MACS_peak_5639	chr17	26274924	26277182	+	3128.41	NA	intron (NM_009733, intron 1 of 10)	CpG	422	NM_001159598	12005	Mm.23684	NM_001159598	ENSMUSG00000024182	Axin1	AI316800|Axin|Fu|Kb|Ki|fused|kinky|knobbly	axin 1	protein-coding
MACS_peak_8023	chr2	164610298	164612916	+	3125.57	NA	promoter-TSS (NM_133924)	promoter-TSS (NM_133924)	86	NM_133924	101113	Mm.475604	NM_133924	ENSMUSG00000050373	Snx21	5730407K14Rik|AI481716	sorting nexin family member 21	protein-coding
MACS_peak_5764	chr17	34135948	34137778	+	3125.13	NA	exon (NM_001001892, exon 2 of 8)	exon (NM_001001892, exon 2 of 8)	415	NM_001001892	14972	Mm.440940	XM_003945745	ENSMUSG00000061232	H2-K1	H-2K|H-2K(d)|H2-K|K-f	histocompatibility 2, K1, K region	protein-coding
MACS_peak_10490	chr5	123348832	123351296	+	3122.31	NA	intron (NM_001003953, intron 12 of 22)	CpG	295	NM_013910	30841	Mm.86406	NM_001003953	ENSMUSG00000029475	Kdm2b	Cxxc2|E430001G17|Fbl10|Fbxl10|Jhdm1b|PCCX2|mKIAA3014	lysine (K)-specific demethylase 2B	protein-coding
MACS_peak_10373	chr5	112771163	112773082	+	3121.56	NA	promoter-TSS (NM_027323)	promoter-TSS (NM_027323)	7	NM_138646	192232	Mm.238043	NM_138646	ENSMUSG00000042328	Hps4	2010205O06Rik|AU040608|BLOC-3|C130020P05Rik|le|mKIAA1667	Hermansky-Pudlak syndrome 4 homolog (human)	protein-coding
MACS_peak_14300	chrX	73118846	73121219	+	3119.81	NA	promoter-TSS (NM_145629)	promoter-TSS (NM_145629)	-119	NM_145629	102866	Mm.28777	NM_001166453	ENSMUSG00000016382	Pls3	AI115446|AL024105|T-fimbrin	plastin 3 (T-isoform)	protein-coding
MACS_peak_12352	chr7	134184559	134186686	+	3119.65	NA	intron (NM_145588, intron 1 of 13)	intron (NM_145588, intron 1 of 13)	312	NM_145588	110033	Mm.286488	NM_145588	ENSMUSG00000030677	Kif22	AU021460|C81217|Kid|Kif22a	kinesin family member 22	protein-coding
MACS_peak_2188	chr11	78509813	78512027	+	3119.54	NA	promoter-TSS (NM_008702)	promoter-TSS (NM_008702)	7	NM_008702	18099	Mm.9001	NM_008702	ENSMUSG00000017376	Nlk	AI194375	nemo like kinase	protein-coding
MACS_peak_2224	chr11	82802864	82806010	+	3119.49	NA	intron (NM_172796, intron 1 of 4)	intron (NM_172796, intron 1 of 4)	895	NM_172796	237886	Mm.490634	NM_172796	ENSMUSG00000069793	Slfn9	9830137M10Rik	schlafen 9	protein-coding
MACS_peak_12230	chr7	116814181	116816458	+	3119.03	NA	Intergenic	Intergenic	-31932	NM_020616	57373	Mm.334138	NM_020616	ENSMUSG00000031023	Akip1	BCA3|C11orf17|D7H11orf17|D930014E17Rik|ICRFP703B1614Q5.6|ORF27	A kinase (PRKA) interacting protein 1	protein-coding
MACS_peak_7178	chr2	28915344	28916939	+	3118.75	NA	intron (NM_009442, intron 1 of 11)	CpG	358	NM_009442	22130	Mm.252195	NM_009442	ENSMUSG00000026803	Ttf1	AV245725	transcription termination factor, RNA polymerase I	protein-coding
MACS_peak_5408	chr16	96211589	96213512	+	3118.40	NA	promoter-TSS (NM_019537)	promoter-TSS (NM_019537)	-40	NM_019537	56088	Mm.396248	NM_019537	ENSMUSG00000022913	Psmg1	AW552102|Dscr2	proteasome (prosome, macropain) assembly chaperone 1	protein-coding
MACS_peak_10821	chr6	17586853	17588912	+	3115.85	NA	intron (NM_007604, intron 1 of 9)	intron (NM_007604, intron 1 of 9)	784	NM_007604	12343	Mm.392504	NM_007604	ENSMUSG00000015733	Capza2	1110053K06Rik|AW208808|Cappa2	capping protein (actin filament) muscle Z-line, alpha 2	protein-coding
MACS_peak_1697	chr11	22411840	22413440	+	3114.94	NA	intron (NM_153596, intron 1 of 3)	CpG-1764	354	NM_153596	103765	Mm.221274	NM_153596	ENSMUSG00000049904	Tmem17	AI503894|AW049890	transmembrane protein 17	protein-coding
MACS_peak_1230	chr10	79445944	79448972	+	3114.66	NA	promoter-TSS (NM_001003949)	promoter-TSS (NM_001003949)	-383	NM_001003949	216157	Mm.29442	NM_001003949	ENSMUSG00000013858	ORF61	AC087114.7gm12|AC087114.7gm2|R32184_3|mFLJ00277	open reading frame 61	protein-coding
MACS_peak_1276	chr10	80521880	80523339	+	3114.25	NA	intron (NM_024499, intron 1 of 11)	intron (NM_024499, intron 1 of 11)	290	NM_024499	52551	Mm.30068	NM_024499	ENSMUSG00000004937	Sgta	5330427H01Rik|AI194281|D10Ertd190e|Sgt|Stg	small glutamine-rich tetratricopeptide repeat (TPR)-containing, alpha	protein-coding
MACS_peak_2419	chr11	98900965	98904799	+	3114.23	NA	exon (NM_010517, exon 1 of 4)	exon (NM_010517, exon 1 of 4)	308	NM_010517	16010	Mm.233799	NM_010517	ENSMUSG00000017493	Igfbp4	AI875747|Deb2|IGFBP-4	insulin-like growth factor binding protein 4	protein-coding
MACS_peak_8549	chr3	94641070	94643152	+	3113.33	NA	intron (NM_172683, intron 1 of 18)	CpG	622	NM_172683	229584	Mm.274787	NM_001165948	ENSMUSG00000038902	Pogz	9530006B08Rik|AU015913|AU044539	pogo transposable element with ZNF domain	protein-coding
MACS_peak_5370	chr16	90933910	90935951	+	3112.53	NA	exon (NM_026502, exon 1 of 7)	exon (NM_026502, exon 1 of 7)	164	NM_026502	68001	Mm.45374	NM_026502	ENSMUSG00000022972	1110004E09Rik	-	RIKEN cDNA 1110004E09 gene	protein-coding
MACS_peak_8890	chr3	152376518	152378237	+	3112.46	NA	intron (NM_178016, intron 1 of 11)	CpG	313	NM_025662	329777	Mm.331447	NM_025662	ENSMUSG00000039047	Pigk	3000001O05Rik	phosphatidylinositol glycan anchor biosynthesis, class K	protein-coding
MACS_peak_3669	chr13	70775260	70777636	+	3107.19	NA	promoter-TSS (NM_144837)	promoter-TSS (NM_144837)	64	NM_144837	218333	Mm.139738	NM_144837	ENSMUSG00000034525	BC018507	C77245|mKIAA0947	cDNA sequence BC018507	protein-coding
MACS_peak_7165	chr2	27369676	27372012	+	3106.88	NA	intron (NM_080848, intron 1 of 13)	CpG	177	NM_080848	140858	Mm.28265	NM_080848	ENSMUSG00000026917	Wdr5	2410008O07Rik|AA408785|AA960360|Big|Big-3	WD repeat domain 5	protein-coding
MACS_peak_8263	chr3	33978881	33980974	+	3106.49	NA	intron (NM_001026211, intron 1 of 5)	intron (NM_001026211, intron 1 of 5)	321	NM_001026211	67713	Mm.274266	NM_001026211	ENSMUSG00000027679	Dnajc19	1810055D05Rik|AA959924|Tim14	DnaJ (Hsp40) homolog, subfamily C, member 19	protein-coding
MACS_peak_2317	chr11	94537184	94539433	+	3106.30	NA	intron (NM_145828, intron 1 of 10)	CpG	499	NM_145828	217119	Mm.100638	NM_145828	ENSMUSG00000020868	Xylt2	E030002B02Rik|XT-II|XT2|xylT-II	xylosyltransferase II	protein-coding
MACS_peak_6384	chr18	58037229	58040480	+	3105.69	NA	exon (NM_009194, exon 1 of 27)	exon (NM_009194, exon 1 of 27)	522	NM_009194	20496	Mm.399997	NM_009194	ENSMUSG00000024597	Slc12a2	9330166H04Rik|Nkcc1|mBSC2|sy-ns	solute carrier family 12, member 2	protein-coding
MACS_peak_1393	chr10	94404913	94408519	+	3102.90	NA	exon (NM_018797, exon 1 of 31)	exon (NM_018797, exon 1 of 31)	496	NM_018797	54712	Mm.256712	NM_018797	ENSMUSG00000074785	Plxnc1	2510048K12Rik|AW742158|CD232|Vespr	plexin C1	protein-coding
MACS_peak_544	chr1	145585885	145587720	+	3101.97	NA	promoter-TSS (NM_023505)	promoter-TSS (NM_023505)	57	NM_023505	69367	Mm.272727	NM_001038592	ENSMUSG00000018196	Glrx2	1700010P22Rik|AI645710|Grx2	glutaredoxin 2 (thioltransferase)	protein-coding
MACS_peak_10054	chr5	35447450	35449136	+	3101.90	NA	promoter-TSS (NM_013587)	promoter-TSS (NM_013587)	53	NM_013587	16976	Mm.277661	NM_013587	ENSMUSG00000029103	Lrpap1	AA617339|AI790446|AU042172|C77774|HBP44|RAP	low density lipoprotein receptor-related protein associated protein 1	protein-coding
MACS_peak_10357	chr5	110713873	110716219	+	3101.79	NA	promoter-TSS (NM_011132)	promoter-TSS (NM_011132)	141	NM_008993	19301	Mm.21853	NM_008993	ENSMUSG00000029499	Pxmp2	22kDa|PMP22	peroxisomal membrane protein 2	protein-coding
MACS_peak_882	chr10	13041310	13044713	+	3101.65	NA	intron (NM_001195065, intron 1 of 12)	intron (NM_001195065, intron 1 of 12)	955	NM_001195096	215789	Mm.487722	NM_001033257	ENSMUSG00000062866	Phactr2	AV158170|BC012871	phosphatase and actin regulator 2	protein-coding
MACS_peak_1626	chr11	5606179	5608072	+	3101.47	NA	intron (NM_026080, intron 3 of 3)	intron (NM_026080, intron 3 of 3)	577	NM_026080	64660	Mm.490269	NM_026080	ENSMUSG00000020477	Mrps24	3110030K20Rik|AI414579|Rpms24	mitochondrial ribosomal protein S24	protein-coding
MACS_peak_10184	chr5	74926513	74928525	+	3101.18	NA	exon (NM_001114660, exon 1 of 9)	exon (NM_001114660, exon 1 of 9)	255	NM_178672	212986	Mm.134147	NM_001114660	ENSMUSG00000062110	Scfd2	9330137G15|E430013M20Rik|STXBP1L1	Sec1 family domain containing 2	protein-coding
